step-number,reactant-id,process-id,product-id,step-time,total-time,barrier,rate,energy
0,0,1,1,3.607782e-12,3.607782e-12,0.049660,9.562610e+10,-1768.014189
1,1,13,2,2.274152e-13,3.835198e-12,0.053840,8.749810e+10,-1768.055900
2,2,7,3,5.200465e-13,4.355244e-12,0.008440,8.123570e+11,-1768.064680
3,3,11,4,1.131243e-12,5.486487e-12,0.038790,1.549110e+11,-1769.346000
4,4,9,5,1.012211e-12,6.498698e-12,0.046190,1.033820e+11,-1770.119440
5,5,1,6,3.670531e-13,6.865751e-12,0.051320,9.890130e+10,-1771.425640
6,6,1,7,3.349487e-12,1.021524e-11,0.023150,2.668910e+11,-1771.441480
7,7,2,8,8.100133e-13,1.102525e-11,0.004650,4.042050e+11,-1772.176410
8,8,1,9,8.786569e-12,1.981182e-11,0.067770,4.672670e+10,-1772.244910
9,9,0,8,1.888319e-13,2.000065e-11,0.003820,4.096590e+11,-1772.180960
10,8,1,9,8.824741e-12,2.882539e-11,0.067770,4.672670e+10,-1772.244910
11,9,0,8,8.191298e-13,2.964452e-11,0.003820,4.096590e+11,-1772.180960
12,8,1,9,3.432707e-13,2.998779e-11,0.067770,4.672670e+10,-1772.244910
13,9,0,8,1.769519e-12,3.175731e-11,0.003820,4.096590e+11,-1772.180960
14,8,1,9,7.449996e-12,3.920731e-11,0.067770,4.672670e+10,-1772.244910
15,9,0,8,7.528989e-12,4.673630e-11,0.003820,4.096590e+11,-1772.180960
16,8,1,9,8.676076e-12,5.541237e-11,0.067770,4.672670e+10,-1772.244910
17,9,0,8,9.194017e-12,6.460639e-11,0.003820,4.096590e+11,-1772.180960
18,8,0,7,1.267034e-12,6.587342e-11,0.073150,3.747070e+10,-1772.244910
19,7,2,8,8.268357e-13,6.670026e-11,0.004650,4.042050e+11,-1772.176410
20,8,1,9,1.828948e-11,8.498974e-11,0.067770,4.672670e+10,-1772.244910
21,9,0,8,1.271686e-12,8.626143e-11,0.003820,4.096590e+11,-1772.180960
22,8,0,7,3.443357e-11,1.206950e-10,0.073150,3.747070e+10,-1772.244910
23,7,2,8,4.571324e-12,1.252663e-10,0.004650,4.042050e+11,-1772.176410
24,8,0,7,1.118143e-11,1.364478e-10,0.073150,3.747070e+10,-1772.244910
25,7,2,8,6.014390e-13,1.370492e-10,0.004650,4.042050e+11,-1772.176410
26,8,0,7,2.258863e-11,1.596378e-10,0.073150,3.747070e+10,-1772.244910
27,7,2,8,4.485608e-12,1.641234e-10,0.004650,4.042050e+11,-1772.176410
28,8,1,9,4.050444e-12,1.681739e-10,0.067770,4.672670e+10,-1772.244910
29,9,0,8,3.413568e-13,1.685152e-10,0.003820,4.096590e+11,-1772.180960
30,8,1,9,9.171089e-12,1.776863e-10,0.067770,4.672670e+10,-1772.244910
31,9,0,8,3.186680e-12,1.808730e-10,0.003820,4.096590e+11,-1772.180960
32,8,1,9,1.133978e-11,1.922128e-10,0.067770,4.672670e+10,-1772.244910
33,9,0,8,1.054636e-13,1.923182e-10,0.003820,4.096590e+11,-1772.180960
34,8,0,7,5.842268e-12,1.981605e-10,0.073150,3.747070e+10,-1772.244910
35,7,2,8,2.252982e-12,2.004135e-10,0.004650,4.042050e+11,-1772.176410
36,8,0,7,6.299391e-12,2.067129e-10,0.073150,3.747070e+10,-1772.244910
37,7,2,8,2.431231e-13,2.069560e-10,0.004650,4.042050e+11,-1772.176410
38,8,1,9,3.444343e-11,2.413994e-10,0.067770,4.672670e+10,-1772.244910
39,9,0,8,3.711024e-12,2.451105e-10,0.003820,4.096590e+11,-1772.180960
40,8,1,9,1.016147e-11,2.552719e-10,0.067770,4.672670e+10,-1772.244910
41,9,1,10,9.940872e-12,2.652128e-10,0.074830,6.009970e+10,-1772.180960
42,10,3,11,1.011283e-09,1.276496e-09,0.237020,2.854940e+08,-1772.826820
43,11,8,12,1.509080e-09,2.785576e-09,0.220960,5.356530e+08,-1772.810780
44,12,6,13,5.986413e-10,3.384217e-09,0.274340,5.293340e+07,-1772.824310
45,13,7,14,1.232765e-10,3.507494e-09,0.166030,2.863030e+09,-1772.719460
46,14,5,15,3.694572e-09,7.202066e-09,0.237030,2.855600e+08,-1772.826820
47,15,0,14,2.166093e-09,9.368159e-09,0.220990,5.407750e+08,-1772.810780
48,14,2,16,7.360798e-10,1.010424e-08,0.237030,2.846510e+08,-1772.826820
49,16,6,17,1.544426e-10,1.025868e-08,0.220960,5.383100e+08,-1772.810780
50,17,13,18,1.131806e-09,1.139049e-08,0.284190,2.756320e+07,-1772.824300
51,18,5,19,1.141707e-09,1.253219e-08,0.212620,6.032600e+08,-1772.851990
52,19,1,20,1.833604e-12,1.253403e-08,0.044810,2.449460e+11,-1773.663180
53,20,4,21,3.265535e-09,1.579956e-08,0.264220,9.714930e+07,-1775.091030
54,21,1,22,6.750139e-13,1.580024e-08,0.025780,5.173180e+10,-1774.826920
55,22,1,23,4.837956e-12,1.580508e-08,0.153110,6.783470e+09,-1774.955210
56,23,0,22,1.154686e-12,1.580623e-08,0.026350,4.926550e+10,-1774.828450
57,22,0,21,4.777035e-12,1.581101e-08,0.154070,6.574300e+09,-1774.955210
58,21,0,20,3.889878e-12,1.581490e-08,0.000110,1.930830e+11,-1774.826920
59,20,4,21,1.316981e-08,2.898471e-08,0.264220,9.714930e+07,-1775.091030
60,21,0,20,6.667018e-12,2.899137e-08,0.000110,1.930830e+11,-1774.826920
61,20,5,23,2.252218e-09,3.124359e-08,0.262670,1.058990e+08,-1775.091030
62,23,1,20,3.277474e-12,3.124687e-08,0.000090,1.921220e+11,-1774.828450
63,20,5,23,3.190735e-09,3.443760e-08,0.262670,1.058990e+08,-1775.091030
64,23,1,20,2.998768e-14,3.443763e-08,0.000090,1.921220e+11,-1774.828450
65,20,5,23,3.544203e-09,3.798184e-08,0.262670,1.058990e+08,-1775.091030
66,23,0,22,6.562473e-12,3.798840e-08,0.026350,4.926550e+10,-1774.828450
67,22,0,21,6.988523e-11,3.805828e-08,0.154070,6.574300e+09,-1774.955210
68,21,0,20,4.866911e-12,3.806315e-08,0.000110,1.930830e+11,-1774.826920
69,20,4,21,4.939728e-09,4.300288e-08,0.264220,9.714930e+07,-1775.091030
70,21,0,20,9.733416e-14,4.300298e-08,0.000110,1.930830e+11,-1774.826920
71,20,4,21,3.542278e-10,4.335720e-08,0.264220,9.714930e+07,-1775.091030
72,21,1,22,1.685668e-12,4.335889e-08,0.025780,5.173180e+10,-1774.826920
73,22,0,21,1.871214e-10,4.354601e-08,0.154070,6.574300e+09,-1774.955210
74,21,0,20,2.353080e-12,4.354836e-08,0.000110,1.930830e+11,-1774.826920
75,20,5,23,1.344581e-08,5.699417e-08,0.262670,1.058990e+08,-1775.091030
76,23,1,20,1.724835e-12,5.699590e-08,0.000090,1.921220e+11,-1774.828450
77,20,5,23,4.257302e-09,6.125320e-08,0.262670,1.058990e+08,-1775.091030
78,23,1,20,4.398091e-13,6.125364e-08,0.000090,1.921220e+11,-1774.828450
79,20,4,21,3.305014e-09,6.455865e-08,0.264220,9.714930e+07,-1775.091030
80,21,1,22,1.263545e-11,6.457129e-08,0.025780,5.173180e+10,-1774.826920
81,22,0,21,1.815611e-11,6.458944e-08,0.154070,6.574300e+09,-1774.955210
82,21,1,22,8.005095e-12,6.459745e-08,0.025780,5.173180e+10,-1774.826920
83,22,1,23,1.769852e-10,6.477443e-08,0.153110,6.783470e+09,-1774.955210
84,23,1,20,4.443783e-12,6.477888e-08,0.000090,1.921220e+11,-1774.828450
85,20,5,23,7.882341e-09,7.266122e-08,0.262670,1.058990e+08,-1775.091030
86,23,1,20,1.290297e-12,7.266251e-08,0.000090,1.921220e+11,-1774.828450
87,20,5,23,2.088887e-09,7.475140e-08,0.262670,1.058990e+08,-1775.091030
88,23,0,22,7.898069e-15,7.475140e-08,0.026350,4.926550e+10,-1774.828450
89,22,1,23,1.692907e-10,7.492069e-08,0.153110,6.783470e+09,-1774.955210
90,23,1,20,2.205215e-12,7.492290e-08,0.000090,1.921220e+11,-1774.828450
91,20,5,23,7.263444e-09,8.218634e-08,0.262670,1.058990e+08,-1775.091030
92,23,1,20,3.901708e-12,8.219024e-08,0.000090,1.921220e+11,-1774.828450
93,20,5,23,7.564153e-10,8.294666e-08,0.262670,1.058990e+08,-1775.091030
94,23,1,20,1.852721e-12,8.294851e-08,0.000090,1.921220e+11,-1774.828450
95,20,4,21,3.678685e-10,8.331638e-08,0.264220,9.714930e+07,-1775.091030
96,21,0,20,1.588157e-11,8.333226e-08,0.000110,1.930830e+11,-1774.826920
97,20,4,21,3.118620e-09,8.645088e-08,0.264220,9.714930e+07,-1775.091030
98,21,0,20,2.853133e-13,8.645117e-08,0.000110,1.930830e+11,-1774.826920
99,20,5,23,1.245717e-09,8.769689e-08,0.262670,1.058990e+08,-1775.091030
100,23,1,20,2.668493e-12,8.769955e-08,0.000090,1.921220e+11,-1774.828450
101,20,4,21,1.166036e-08,9.935991e-08,0.264220,9.714930e+07,-1775.091030
102,21,1,22,8.170444e-13,9.936073e-08,0.025780,5.173180e+10,-1774.826920
103,22,1,23,2.422491e-11,9.938495e-08,0.153110,6.783470e+09,-1774.955210
104,23,1,20,7.290641e-12,9.939224e-08,0.000090,1.921220e+11,-1774.828450
105,20,5,23,7.037572e-10,1.000960e-07,0.262670,1.058990e+08,-1775.091030
106,23,1,20,1.250299e-12,1.000973e-07,0.000090,1.921220e+11,-1774.828450
107,20,4,21,7.834908e-10,1.008807e-07,0.264220,9.714930e+07,-1775.091030
108,21,0,20,2.236599e-12,1.008830e-07,0.000110,1.930830e+11,-1774.826920
109,20,5,23,4.197918e-09,1.050809e-07,0.262670,1.058990e+08,-1775.091030
110,23,1,20,6.994325e-12,1.050879e-07,0.000090,1.921220e+11,-1774.828450
111,20,5,23,1.648460e-09,1.067364e-07,0.262670,1.058990e+08,-1775.091030
112,23,1,20,4.291171e-12,1.067406e-07,0.000090,1.921220e+11,-1774.828450
113,20,4,21,6.175953e-09,1.129166e-07,0.264220,9.714930e+07,-1775.091030
114,21,0,20,3.722877e-13,1.129170e-07,0.000110,1.930830e+11,-1774.826920
115,20,5,23,1.086239e-09,1.140032e-07,0.262670,1.058990e+08,-1775.091030
116,23,0,22,8.094296e-13,1.140040e-07,0.026350,4.926550e+10,-1774.828450
117,22,0,21,1.258168e-10,1.141298e-07,0.154070,6.574300e+09,-1774.955210
118,21,1,22,5.453542e-12,1.141353e-07,0.025780,5.173180e+10,-1774.826920
119,22,0,21,1.257751e-10,1.142611e-07,0.154070,6.574300e+09,-1774.955210
120,21,0,20,2.067553e-12,1.142631e-07,0.000110,1.930830e+11,-1774.826920
121,20,5,23,6.237993e-09,1.205011e-07,0.262670,1.058990e+08,-1775.091030
122,23,1,20,6.118753e-13,1.205017e-07,0.000090,1.921220e+11,-1774.828450
123,20,4,21,2.265805e-09,1.227675e-07,0.264220,9.714930e+07,-1775.091030
124,21,0,20,1.580905e-12,1.227691e-07,0.000110,1.930830e+11,-1774.826920
125,20,5,23,7.576530e-10,1.235268e-07,0.262670,1.058990e+08,-1775.091030
126,23,1,20,1.350597e-12,1.235281e-07,0.000090,1.921220e+11,-1774.828450
127,20,4,21,5.398059e-11,1.235821e-07,0.264220,9.714930e+07,-1775.091030
128,21,0,20,1.275184e-12,1.235834e-07,0.000110,1.930830e+11,-1774.826920
129,20,5,23,4.064145e-09,1.276475e-07,0.262670,1.058990e+08,-1775.091030
130,23,1,20,1.437187e-12,1.276490e-07,0.000090,1.921220e+11,-1774.828450
131,20,5,23,1.631993e-09,1.292810e-07,0.262670,1.058990e+08,-1775.091030
132,23,1,20,7.604358e-12,1.292886e-07,0.000090,1.921220e+11,-1774.828450
133,20,5,23,1.978416e-09,1.312670e-07,0.262670,1.058990e+08,-1775.091030
134,23,1,20,6.756694e-12,1.312737e-07,0.000090,1.921220e+11,-1774.828450
135,20,4,21,7.559031e-09,1.388328e-07,0.264220,9.714930e+07,-1775.091030
136,21,0,20,6.524556e-12,1.388393e-07,0.000110,1.930830e+11,-1774.826920
137,20,5,23,4.364086e-10,1.392757e-07,0.262670,1.058990e+08,-1775.091030
138,23,1,20,5.604931e-13,1.392763e-07,0.000090,1.921220e+11,-1774.828450
139,20,5,23,6.251569e-09,1.455278e-07,0.262670,1.058990e+08,-1775.091030
140,23,0,22,1.866985e-12,1.455297e-07,0.026350,4.926550e+10,-1774.828450
141,22,0,21,2.467289e-10,1.457764e-07,0.154070,6.574300e+09,-1774.955210
142,21,0,20,4.861207e-12,1.457813e-07,0.000110,1.930830e+11,-1774.826920
143,20,4,21,3.820330e-09,1.496016e-07,0.264220,9.714930e+07,-1775.091030
144,21,2,24,1.553590e-12,1.496032e-07,0.102460,2.802250e+09,-1774.826920
145,24,3,25,1.034769e-06,1.184372e-06,0.369670,1.508940e+06,-1775.122880
